Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,Hispanic,*,*,21.0
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,Hispanic,42.1,25.5 to 60.8,36.0
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,Hispanic,55.5,49.1 to 61.7,217.0
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,Hispanic,35.2,29.1 to 41.8,244.0
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,Hispanic,50.8,44.2 to 57.4,372.0
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,Hispanic,*,*,19.0
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,Hispanic,26.5,17.0 to 38.9,148.0
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,Hispanic,64.2,55.5 to 72.0,184.0
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,Hispanic,†,†,42.0
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,Hispanic,†,†,33.0
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,Hispanic,43.9,37.3 to 50.7,311.0
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,Hispanic,49.4,,100.0
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,Hispanic,51.1,44.1 to 58.1,238.0
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,Hispanic,*,*,8.0
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,Hispanic,52.5,31.3 to 72.8,35.0
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,Hispanic,50.5,43.7 to 57.4,222.0
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,Hispanic,*,*,7.0
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,Hispanic,54.5,47.2 to 61.6,154.0
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23.0
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",53.2,37.2 to 68.5,67.0
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,35.0
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",38.5,19.4 to 62.0,35.0
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.3,45.1 to 55.4,607.0
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",60.8,47.8 to 72.5,69.0
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,12.0
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18.0
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",52.2,37.8 to 66.2,114.0
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",68.7,62.4 to 74.4,233.0
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",26.1,15.0 to 41.5,47.0
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",62.6,50.7 to 73.1,134.0
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,15.0
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",42.4,22.9 to 64.6,31.0
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",62.9,57.2 to 68.3,259.0
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",31.5,25.7 to 37.9,219.0
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",47.8,39.3 to 56.5,199.0
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,27.0
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",54.3,43.1 to 65.0,235.0
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",77.7,65.8 to 86.3,87.0
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,28.0
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18.0
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.1,33.1 to 67.2,36.0
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",53.8,,47.0
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.0,47.3 to 76.4,52.0
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23.0
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,29.0
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.4,50.4 to 62.3,342.0
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,14.0
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",54.3,42.7 to 65.5,60.0
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,"White, Non-Hispanic",48.9,44.2 to 53.6,763.0
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.9,49.2 to 58.5,857.0
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,"White, Non-Hispanic",32.9,28.0 to 38.2,447.0
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,"White, Non-Hispanic",37.1,28.7 to 46.2,278.0
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,"White, Non-Hispanic",52.8,43.7 to 61.7,181.0
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,"White, Non-Hispanic",50.8,46.5 to 55.0,597.0
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.4,38.0 to 50.9,312.0
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,"White, Non-Hispanic",63.9,59.6 to 67.9,677.0
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,"White, Non-Hispanic",55.9,49.3 to 62.3,491.0
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,"White, Non-Hispanic",69.6,63.7 to 75.0,260.0
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,"White, Non-Hispanic",49.1,44.6 to 53.6,534.0
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,"White, Non-Hispanic",68.5,64.4 to 72.3,546.0
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,"White, Non-Hispanic",47.1,41.4 to 52.9,388.0
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,"White, Non-Hispanic",46.4,42.3 to 50.6,786.0
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,"White, Non-Hispanic",68.3,64.1 to 72.1,515.0
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.3,39.3 to 49.5,388.0
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,"White, Non-Hispanic",54.7,50.2 to 59.0,736.0
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.5,39.2 to 49.9,466.0
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,"White, Non-Hispanic",54.0,48.6 to 59.3,921.0
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,"White, Non-Hispanic",63.2,58.0 to 68.2,473.0
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.7,45.2 to 61.9,330.0
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,"White, Non-Hispanic",43.4,37.2 to 49.8,396.0
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,"White, Non-Hispanic",50.5,44.3 to 56.6,298.0
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.7,,473.0
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,"White, Non-Hispanic",58.8,55.0 to 62.4,814.0
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,"White, Non-Hispanic",66.5,62.9 to 69.9,695.0
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",57.3,48.3 to 65.9,189.0
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.7,47.9 to 59.4,294.0
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.5,40.8 to 48.2,1056.0
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,"White, Non-Hispanic",55.8,50.2 to 61.2,391.0
Tdap,States,Arkansas,2011,Age,≥18 Years,3.8,1.4 to 9.6,234.0
Tdap,States,Delaware,2011,Age,≥18 Years,6.7,4.2 to 10.4,287.0
Tdap,States,Georgia,2011,Age,≥18 Years,6.9,3.5 to 13.1,301.0
Tdap,States,Maine,2011,Age,≥18 Years,8.2,4.8 to 13.6,272.0
Tdap,States,Maryland,2011,Age,≥18 Years,13.7,9.0 to 20.5,375.0
Tdap,States,Massachusetts,2011,Age,≥18 Years,9.9,6.7 to 14.4,314.0
Tdap,States,Minnesota,2011,Age,≥18 Years,11.9,8.6 to 16.3,359.0
Tdap,States,Missouri,2011,Age,≥18 Years,6.4,3.9 to 10.5,298.0
Tdap,States,Nebraska,2011,Age,≥18 Years,9.9,7.2 to 13.5,439.0
Tdap,States,New Jersey,2011,Age,≥18 Years,12.6,9.4 to 16.8,378.0
Tdap,States,New Mexico,2011,Age,≥18 Years,9.0,6.4 to 12.5,364.0
Tdap,States,New York,2011,Age,≥18 Years,8.9,6.3 to 12.5,564.0
Tdap,States,Oklahoma,2011,Age,≥18 Years,9.1,4.9 to 16.3,382.0
Tdap,National,U.S. Median,2011,Age,≥18 Years,10.9,,321.0
Tdap,States,Utah,2011,Age,≥18 Years,12.1,8.6 to 16.8,328.0
Tdap,States,Vermont,2011,Age,≥18 Years,11.6,8.1 to 16.4,248.0
Tdap,States,Washington,2011,Age,≥18 Years,13.5,9.5 to 18.9,288.0
Tdap,States,West Virginia,2011,Age,≥18 Years,5.4,3.3 to 8.7,406.0
Tdap,States,Wyoming,2011,Age,≥18 Years,9.4,5.1 to 16.7,143.0
Tdap,States,Colorado,2012,Age,≥18 Years,20.5,17.2 to 24.2,1033.0
Tdap,States,Delaware,2012,Age,≥18 Years,8.2,6.5 to 10.3,850.0
Tdap,States,Illinois,2012,Age,≥18 Years,15.5,13.1 to 18.3,882.0
Tdap,States,Missouri,2012,Age,≥18 Years,14.0,11.3 to 17.2,688.0
Tdap,States,Oklahoma,2012,Age,≥18 Years,15.8,12.8 to 19.5,1477.0
Tdap,States,Pennsylvania,2012,Age,≥18 Years,9.1,6.9 to 12.0,669.0
Tdap,States,Rhode Island,2012,Age,≥18 Years,23.4,20.8 to 26.2,1011.0
Tdap,National,U.S. Median,2012,Age,≥18 Years,15.7,,947.0
Tdap,States,Wisconsin,2012,Age,≥18 Years,18.8,15.6 to 22.5,1208.0
Tdap,States,Colorado,2013,Age,≥18 Years,49.4,45.8 to 53.0,1438.0
Tdap,States,Delaware,2013,Age,≥18 Years,25.6,22.7 to 28.7,862.0
Tdap,States,Illinois,2013,Age,≥18 Years,31.3,28.4 to 34.3,1171.0
Tdap,States,Missouri,2013,Age,≥18 Years,26.4,23.4 to 29.6,981.0
Tdap,States,New York,2013,Age,≥18 Years,27.1,23.3 to 31.2,926.0
Tdap,States,Oklahoma,2013,Age,≥18 Years,28.0,24.3 to 32.1,1543.0
Tdap,States,Pennsylvania,2013,Age,≥18 Years,30.8,27.5 to 34.4,907.0
Tdap,States,Rhode Island,2013,Age,≥18 Years,45.6,42.3 to 49.0,1010.0
Tdap,National,U.S. Median,2013,Age,≥18 Years,30.8,,1010.0
Tdap,States,Wisconsin,2013,Age,≥18 Years,43.3,39.0 to 47.8,1198.0
Tdap,States,Delaware,2014,Age,≥18 Years,42.7,39.2 to 46.3,787.0
Tdap,States,Illinois,2014,Age,≥18 Years,44.7,41.7 to 47.8,1214.0
Tdap,States,Missouri,2014,Age,≥18 Years,49.1,45.6 to 52.6,1002.0
Tdap,States,New York,2014,Age,≥18 Years,43.2,38.8 to 47.7,787.0
Tdap,States,Oklahoma,2014,Age,≥18 Years,41.0,36.8 to 45.4,1575.0
Tdap,States,Pennsylvania,2014,Age,≥18 Years,49.8,46.2 to 53.5,942.0
Tdap,States,Rhode Island,2014,Age,≥18 Years,64.3,61.1 to 67.3,1073.0
Tdap,National,U.S. Median,2014,Age,≥18 Years,46.9,,1038.0
Tdap,States,Wisconsin,2014,Age,≥18 Years,60.5,56.2 to 64.6,1203.0
Tdap,States,Colorado,2015,Age,≥18 Years,69.2,66.0 to 72.3,1522.0
Tdap,States,Delaware,2015,Age,≥18 Years,50.1,46.6 to 53.7,816.0
Tdap,States,Illinois,2015,Age,≥18 Years,50.8,47.8 to 53.7,1309.0
Tdap,States,Missouri,2015,Age,≥18 Years,57.7,54.1 to 61.2,988.0
Tdap,States,New Mexico,2015,Age,≥18 Years,52.6,49.8 to 55.4,1199.0
Tdap,States,New York,2015,Age,≥18 Years,52.4,47.9 to 56.8,812.0
Tdap,States,Oklahoma,2015,Age,≥18 Years,48.7,44.6 to 52.8,1628.0
Tdap,States,Pennsylvania,2015,Age,≥18 Years,62.1,58.5 to 65.6,933.0
Tdap,States,Texas,2015,Age,≥18 Years,42.3,38.7 to 46.0,1087.0
Tdap,National,U.S. Median,2015,Age,≥18 Years,52.6,,1087.0
Tdap,States,Virginia,2015,Age,≥18 Years,61.4,56.5 to 66.1,642.0
Tdap,States,Wisconsin,2015,Age,≥18 Years,68.2,63.9 to 72.3,1160.0
Tdap,States,Arkansas,2016,Age,≥18 Years,64.3,59.3 to 69.1,755.0
Tdap,States,Colorado,2016,Age,≥18 Years,71.8,68.6 to 74.9,1443.0
Tdap,States,Delaware,2016,Age,≥18 Years,69.7,66.3 to 72.9,836.0
Tdap,States,Iowa,2016,Age,≥18 Years,84.1,80.5 to 87.2,853.0
Tdap,States,Louisiana,2016,Age,≥18 Years,63.0,59.4 to 66.5,770.0
Tdap,States,Massachusetts,2016,Age,≥18 Years,86.5,83.8 to 88.8,1181.0
Tdap,States,Michigan,2016,Age,≥18 Years,70.8,68.0 to 73.5,1586.0
Tdap,States,Missouri,2016,Age,≥18 Years,73.5,70.2 to 76.5,981.0
Tdap,States,Nebraska,2016,Age,≥18 Years,86.0,83.5 to 88.2,1157.0
Tdap,States,New Hampshire,2016,Age,≥18 Years,81.7,77.5 to 85.3,540.0
Tdap,States,New York,2016,Age,≥18 Years,65.7,63.2 to 68.1,2049.0
Tdap,States,Oklahoma,2016,Age,≥18 Years,69.0,65.5 to 72.2,1624.0
Tdap,States,Pennsylvania,2016,Age,≥18 Years,78.0,74.8 to 80.9,977.0
Tdap,States,Texas,2016,Age,≥18 Years,68.0,65.0 to 70.9,1584.0
Tdap,National,U.S. Median,2016,Age,≥18 Years,74.0,,1105.0
Tdap,States,Utah,2016,Age,≥18 Years,74.0,71.0 to 76.9,1315.0
Tdap,States,Vermont,2016,Age,≥18 Years,82.0,79.2 to 84.5,862.0
Tdap,States,Virginia,2016,Age,≥18 Years,74.4,69.7 to 78.5,624.0
Tdap,States,Washington,2016,Age,≥18 Years,79.4,76.2 to 82.3,1179.0
Tdap,States,Wisconsin,2016,Age,≥18 Years,81.2,77.6 to 84.4,1105.0
Tdap,States,Colorado,2017,Age,≥18 Years,71.0,67.9 to 74.0,985.0
Tdap,States,Delaware,2017,Age,≥18 Years,72.8,69.5 to 75.9,809.0
Tdap,States,Iowa,2017,Age,≥18 Years,83.6,79.8 to 86.8,911.0
Tdap,States,Louisiana,2017,Age,≥18 Years,63.9,60.3 to 67.3,785.0
Tdap,States,Massachusetts,2017,Age,≥18 Years,88.6,86.2 to 90.6,1288.0
Tdap,States,Michigan,2017,Age,≥18 Years,71.2,68.3 to 73.9,1672.0
Tdap,States,Missouri,2017,Age,≥18 Years,79.8,76.7 to 82.5,1017.0
Tdap,States,New Hampshire,2017,Age,≥18 Years,85.6,81.4 to 88.9,551.0
Tdap,States,New York,2017,Age,≥18 Years,69.1,66.5 to 71.6,1856.0
Tdap,States,Oklahoma,2017,Age,≥18 Years,74.9,71.5 to 77.9,1429.0
Tdap,States,Pennsylvania,2017,Age,≥18 Years,78.7,75.7 to 81.3,1131.0
Tdap,National,U.S. Median,2017,Age,≥18 Years,77.9,,1074.0
Tdap,States,Utah,2017,Age,≥18 Years,77.7,74.7 to 80.4,1336.0
Tdap,States,Vermont,2017,Age,≥18 Years,84.6,81.9 to 87.1,807.0
Tdap,States,Virginia,2017,Age,≥18 Years,76.1,71.5 to 80.2,976.0
Tdap,States,Washington,2017,Age,≥18 Years,83.2,80.4 to 85.8,1130.0
Tdap,States,Wisconsin,2017,Age,≥18 Years,78.1,74.4 to 81.4,1200.0
Tdap,States,Colorado,2013,Age,18-24 Years,44.1,37.0 to 51.5,347.0
Tdap,States,Delaware,2013,Age,18-24 Years,20.4,15.4 to 26.4,235.0
Tdap,States,Illinois,2013,Age,18-24 Years,33.5,26.8 to 40.9,242.0
Tdap,States,Missouri,2013,Age,18-24 Years,25.4,19.9 to 31.9,267.0
Tdap,States,New York,2013,Age,18-24 Years,32.3,24.3 to 41.6,333.0
Tdap,States,Oklahoma,2013,Age,18-24 Years,29.7,23.0 to 37.3,468.0
Tdap,States,Pennsylvania,2013,Age,18-24 Years,33.1,25.9 to 41.1,193.0
Tdap,States,Rhode Island,2013,Age,18-24 Years,44.5,36.6 to 52.6,192.0
Tdap,National,U.S. Median,2013,Age,18-24 Years,33.1,,267.0
Tdap,States,Wisconsin,2013,Age,18-24 Years,44.4,35.6 to 53.4,398.0
Tdap,States,Delaware,2014,Age,18-24 Years,41.0,33.6 to 49.0,169.0
Tdap,States,Illinois,2014,Age,18-24 Years,36.2,30.1 to 42.8,271.0
Tdap,States,Missouri,2014,Age,18-24 Years,51.2,44.3 to 58.0,284.0
Tdap,States,New York,2014,Age,18-24 Years,40.2,30.4 to 51.0,146.0
Tdap,States,Oklahoma,2014,Age,18-24 Years,42.3,34.5 to 50.4,442.0
Tdap,States,Pennsylvania,2014,Age,18-24 Years,39.3,31.8 to 47.3,199.0
Tdap,States,Rhode Island,2014,Age,18-24 Years,63.2,55.6 to 70.2,207.0
Tdap,National,U.S. Median,2014,Age,18-24 Years,41.6,,239.0
Tdap,States,Wisconsin,2014,Age,18-24 Years,44.9,36.1 to 54.1,360.0
Tdap,States,Colorado,2015,Age,18-24 Years,59.8,52.2 to 67.0,333.0
Tdap,States,Delaware,2015,Age,18-24 Years,40.0,32.4 to 48.1,160.0
Tdap,States,Illinois,2015,Age,18-24 Years,39.3,33.3 to 45.7,278.0
Tdap,States,Missouri,2015,Age,18-24 Years,60.3,53.4 to 66.9,259.0
Tdap,States,New Mexico,2015,Age,18-24 Years,50.7,45.7 to 55.6,387.0
Tdap,States,New York,2015,Age,18-24 Years,46.9,36.7 to 57.4,138.0
Tdap,States,Oklahoma,2015,Age,18-24 Years,45.6,38.3 to 53.1,493.0
Tdap,States,Pennsylvania,2015,Age,18-24 Years,60.0,51.9 to 67.6,196.0
Tdap,States,Texas,2015,Age,18-24 Years,39.7,32.8 to 47.1,297.0
Tdap,National,U.S. Median,2015,Age,18-24 Years,50.7,,278.0
Tdap,States,Virginia,2015,Age,18-24 Years,64.9,53.9 to 74.6,125.0
Tdap,States,Wisconsin,2015,Age,18-24 Years,58.8,48.7 to 68.2,342.0
Tdap,States,Arkansas,2016,Age,18-24 Years,64.4,55.5 to 72.4,278.0
Tdap,States,Colorado,2016,Age,18-24 Years,68.6,59.6 to 76.5,238.0
Tdap,States,Delaware,2016,Age,18-24 Years,74.5,66.8 to 80.9,161.0
Tdap,States,Iowa,2016,Age,18-24 Years,84.1,75.8 to 90.0,217.0
Tdap,States,Louisiana,2016,Age,18-24 Years,60.1,53.8 to 66.2,259.0
Tdap,States,Massachusetts,2016,Age,18-24 Years,79.6,70.0 to 86.8,153.0
Tdap,States,Michigan,2016,Age,18-24 Years,68.9,62.7 to 74.5,419.0
Tdap,States,Missouri,2016,Age,18-24 Years,77.4,70.9 to 82.9,258.0
Tdap,States,Nebraska,2016,Age,18-24 Years,84.7,78.1 to 89.6,233.0
Tdap,States,New Hampshire,2016,Age,18-24 Years,80.8,67.5 to 89.5,84.0
Tdap,States,New York,2016,Age,18-24 Years,63.2,56.8 to 69.2,329.0
Tdap,States,Oklahoma,2016,Age,18-24 Years,73.6,67.8 to 78.6,594.0
Tdap,States,Pennsylvania,2016,Age,18-24 Years,71.9,63.5 to 79.0,182.0
Tdap,States,Texas,2016,Age,18-24 Years,71.3,65.5 to 76.5,408.0
Tdap,National,U.S. Median,2016,Age,18-24 Years,73.9,,238.0
Tdap,States,Utah,2016,Age,18-24 Years,77.3,71.7 to 82.0,361.0
Tdap,States,Vermont,2016,Age,18-24 Years,83.6,76.3 to 89.0,147.0
Tdap,States,Virginia,2016,Age,18-24 Years,72.6,61.7 to 81.4,126.0
Tdap,States,Washington,2016,Age,18-24 Years,73.9,64.4 to 81.6,198.0
Tdap,States,Wisconsin,2016,Age,18-24 Years,79.2,69.9 to 86.2,269.0
Tdap,States,Colorado,2017,Age,18-24 Years,67.0,58.7 to 74.4,169.0
Tdap,States,Delaware,2017,Age,18-24 Years,71.0,63.0 to 77.9,161.0
Tdap,States,Iowa,2017,Age,18-24 Years,79.5,69.6 to 86.8,225.0
Tdap,States,Louisiana,2017,Age,18-24 Years,59.0,52.3 to 65.4,245.0
Tdap,States,Massachusetts,2017,Age,18-24 Years,86.7,79.3 to 91.8,188.0
Tdap,States,Michigan,2017,Age,18-24 Years,67.2,60.6 to 73.1,435.0
Tdap,States,Missouri,2017,Age,18-24 Years,77.0,69.9 to 82.9,230.0
Tdap,States,New Hampshire,2017,Age,18-24 Years,83.0,68.9 to 91.5,77.0
Tdap,States,New York,2017,Age,18-24 Years,67.3,60.3 to 73.7,270.0
Tdap,States,Oklahoma,2017,Age,18-24 Years,75.7,69.9 to 80.7,512.0
Tdap,States,Pennsylvania,2017,Age,18-24 Years,77.5,70.0 to 83.5,211.0
Tdap,National,U.S. Median,2017,Age,18-24 Years,77.2,,218.0
Tdap,States,Utah,2017,Age,18-24 Years,77.9,71.8 to 83.0,344.0
Tdap,States,Vermont,2017,Age,18-24 Years,83.5,75.3 to 89.4,108.0
Tdap,States,Virginia,2017,Age,18-24 Years,72.7,60.4 to 82.3,151.0
Tdap,States,Washington,2017,Age,18-24 Years,79.3,71.4 to 85.4,209.0
Tdap,States,Wisconsin,2017,Age,18-24 Years,78.0,69.6 to 84.6,373.0
Tdap,States,Colorado,2013,Age,25-34 Years,51.2,46.5 to 56.0,823.0
Tdap,States,Delaware,2013,Age,25-34 Years,26.8,22.9 to 31.1,485.0
Tdap,States,Illinois,2013,Age,25-34 Years,31.6,28.0 to 35.4,709.0
Tdap,States,Missouri,2013,Age,25-34 Years,27.0,23.2 to 31.2,588.0
Tdap,States,New York,2013,Age,25-34 Years,25.3,20.4 to 30.9,414.0
Tdap,States,Oklahoma,2013,Age,25-34 Years,27.8,23.0 to 33.2,878.0
Tdap,States,Pennsylvania,2013,Age,25-34 Years,30.6,26.4 to 35.1,558.0
Tdap,States,Rhode Island,2013,Age,25-34 Years,45.6,41.3 to 49.9,598.0
Tdap,National,U.S. Median,2013,Age,25-34 Years,30.6,,598.0
Tdap,States,Wisconsin,2013,Age,25-34 Years,43.4,38.1 to 48.8,678.0
Tdap,States,Delaware,2014,Age,25-34 Years,43.4,39.0 to 48.1,489.0
Tdap,States,Illinois,2014,Age,25-34 Years,46.0,42.1 to 50.0,701.0
Tdap,States,Missouri,2014,Age,25-34 Years,49.8,45.3 to 54.3,591.0
Tdap,States,New York,2014,Age,25-34 Years,44.1,38.5 to 49.8,462.0
Tdap,States,Oklahoma,2014,Age,25-34 Years,42.4,36.9 to 48.0,959.0
Tdap,States,Pennsylvania,2014,Age,25-34 Years,55.2,50.4 to 59.9,561.0
Tdap,States,Rhode Island,2014,Age,25-34 Years,64.7,60.7 to 68.6,656.0
Tdap,National,U.S. Median,2014,Age,25-34 Years,47.9,,624.0
Tdap,States,Wisconsin,2014,Age,25-34 Years,65.7,60.6 to 70.5,701.0
Tdap,States,Colorado,2015,Age,25-34 Years,71.0,66.9 to 74.8,873.0
Tdap,States,Delaware,2015,Age,25-34 Years,51.2,46.7 to 55.6,508.0
Tdap,States,Illinois,2015,Age,25-34 Years,54.4,50.5 to 58.2,764.0
Tdap,States,Missouri,2015,Age,25-34 Years,57.2,52.6 to 61.6,610.0
Tdap,States,New Mexico,2015,Age,25-34 Years,53.6,49.8 to 57.4,666.0
Tdap,States,New York,2015,Age,25-34 Years,54.7,49.1 to 60.2,498.0
Tdap,States,Oklahoma,2015,Age,25-34 Years,50.4,45.0 to 55.8,914.0
Tdap,States,Pennsylvania,2015,Age,25-34 Years,61.3,56.7 to 65.7,583.0
Tdap,States,Texas,2015,Age,25-34 Years,42.4,37.8 to 47.3,603.0
Tdap,National,U.S. Median,2015,Age,25-34 Years,54.7,,610.0
Tdap,States,Virginia,2015,Age,25-34 Years,60.1,53.8 to 66.1,379.0
Tdap,States,Wisconsin,2015,Age,25-34 Years,71.8,66.4 to 76.6,656.0
Tdap,States,Arkansas,2016,Age,25-34 Years,63.0,56.0 to 69.4,398.0
Tdap,States,Colorado,2016,Age,25-34 Years,70.5,66.3 to 74.4,880.0
Tdap,States,Delaware,2016,Age,25-34 Years,67.2,62.8 to 71.3,516.0
Tdap,States,Iowa,2016,Age,25-34 Years,84.0,79.4 to 87.8,520.0
Tdap,States,Louisiana,2016,Age,25-34 Years,64.4,59.6 to 69.0,426.0
Tdap,States,Massachusetts,2016,Age,25-34 Years,87.1,83.6 to 90.0,714.0
Tdap,States,Michigan,2016,Age,25-34 Years,73.4,69.8 to 76.7,919.0
Tdap,States,Missouri,2016,Age,25-34 Years,73.4,69.1 to 77.2,589.0
Tdap,States,Nebraska,2016,Age,25-34 Years,86.8,83.6 to 89.4,731.0
Tdap,States,New Hampshire,2016,Age,25-34 Years,81.2,76.0 to 85.5,358.0
Tdap,States,New York,2016,Age,25-34 Years,67.0,63.8 to 70.1,1157.0
Tdap,States,Oklahoma,2016,Age,25-34 Years,69.3,64.7 to 73.6,844.0
Tdap,States,Pennsylvania,2016,Age,25-34 Years,80.8,76.9 to 84.1,617.0
Tdap,States,Texas,2016,Age,25-34 Years,66.2,62.2 to 70.0,915.0
