Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,42.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Plague,2017.0,42.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Tularemia,2017.0,42.0,,-,179.0,,4.0,,230.0,,314.0,,180.0,,203.0,,149.0,,
Brucellosis,2017.0,42.0,1.0,,100.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,VA (1 )
"Hepatitis B, perinatal virus infection§§",2017.0,42.0,,-,19.0,,1.0,,32.0,,37.0,,47.0,,48.0,,40.0,,
"Q fever, acute**",2017.0,42.0,,-,105.0,,2.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,42.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,42.0,,-,3.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,42.0,,-,49.0,,2.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,42.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Smallpox,2017.0,42.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2017.0,42.0,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2017.0,42.0,6.0,,556.0,,17.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), NYC (1 ), KS (1 ), MD (1 ), VA (1 ), FL (1 )"
"Poliomyelitis, paralytic",2017.0,42.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Syphilis, congenital¶¶¶",2017.0,42.0,,-,437.0,,9.0,,633.0,,493.0,,458.0,,348.0,,322.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,42.0,,-,17.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,42.0,1.0,,113.0,,0.0,,83.0,,130.0,,141.0,,160.0,,52.0,,TN (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,42.0,,-,48.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
Anthrax,2017.0,42.0,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017.0,42.0,,-,122.0,,1.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
"Zika virus disease, non-congenital††††  ",2017.0,42.0,1.0,,373.0,,26.0,,5116.0,,,NN,,NN,,NN,,NN,TX (1 )
"Botulism, infant",2017.0,42.0,1.0,,86.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,PA (1 )
Hansen's disease**,2017.0,42.0,,-,48.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,42.0,1.0,,231.0,,7.0,,307.0,,274.0,,250.0,,329.0,,274.0,,VA (1 )
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,42.0,,-,1.0,,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,42.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Botulism, total",2017.0,42.0,1.0,,117.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,42.0,1.0,,184.0,,3.0,,187.0,,167.0,,39.0,,34.0,,37.0,,OK (1 )
"Botulism, foodborne",2017.0,42.0,,-,17.0,,0.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,42.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,42.0,3.0,,154.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,"PA (2 ), OR (1 )"
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,42.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,42.0,,-,36.0,,0.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
Trichinellosis**,2017.0,42.0,,-,11.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,42.0,,-,10.0,,0.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,42.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Diphtheria,2017.0,42.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
Novel influenza A virus infections§§§,2017.0,42.0,,-,20.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Cyclosporiasis**,2017.0,42.0,3.0,,1035.0,,3.0,,535.0,,645.0,,388.0,,784.0,,123.0,,"NY (2 ), NYC (1 )"
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,42.0,,-,,-,0.0,,2.0,,3.0,,,NN,,NN,,NN,
Chancroid,2017.0,42.0,1.0,,7.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,TX (1 )
"Botulism, other (wound and unspecified)",2017.0,42.0,,-,14.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
SARS-CoV,2017.0,42.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,42.0,,-,12.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,42.0,,-,115.0,,2.0,,159.0,,135.0,,266.0,,233.0,,263.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,42.0,13.0,,287.0,,5.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), OH (11 ), MD (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,42.0,2.0,,106.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,"VA (1 ), TX (1 )"
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,43.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
Listeriosis,2017.0,43.0,11.0,,576.0,,16.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (3 ), NYC (3 ), MD (1 ), VA (1 ), FL (1 ), CO (2 )"
"Syphilis, congenital¶¶¶",2017.0,43.0,,-,460.0,,9.0,,633.0,,493.0,,458.0,,348.0,,322.0,,
"Botulism, other (wound and unspecified)",2017.0,43.0,,-,14.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,43.0,2.0,,185.0,,3.0,,187.0,,167.0,,39.0,,34.0,,37.0,,"PA (1 ), FL (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,43.0,,-,19.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Rabies, human",2017.0,43.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
Yellow fever,2017.0,43.0,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2017.0,43.0,3.0,,1041.0,,3.0,,535.0,,645.0,,388.0,,784.0,,123.0,,"CT (1 ), VA (1 ), AZ (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,43.0,,-,107.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
Psittacosis**,2017.0,43.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,43.0,,-,25.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,43.0,,-,72.0,,4.0,,108.0,,183.0,,212.0,,248.0,,134.0,,
"Botulism, total",2017.0,43.0,,-,118.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,43.0,,-,232.0,,7.0,,307.0,,274.0,,250.0,,329.0,,274.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,43.0,,-,50.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
Cholera,2017.0,43.0,,-,2.0,,0.0,,15.0,,5.0,,5.0,,14.0,,17.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,43.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2017.0,43.0,,-,17.0,,0.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
"Q fever, total**",2017.0,43.0,1.0,,131.0,,2.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,43.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,43.0,1.0,,120.0,,3.0,,159.0,,135.0,,266.0,,233.0,,263.0,,KY (1 )
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,43.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, acute**",2017.0,43.0,,-,107.0,,2.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,43.0,4.0,,157.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,"PA (1 ), MO (1 ), FL (1 ), OR (1 )"
"Influenza-associated pediatric mortality**,¶¶",2017.0,43.0,1.0,,114.0,,1.0,,82.0,,130.0,,141.0,,160.0,,52.0,,AL (1 )
Plague,2017.0,43.0,,-,1.0,,0.0,,4.0,,16.0,,10.0,,4.0,,4.0,,
SARS-CoV,2017.0,43.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,43.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Brucellosis,2017.0,43.0,,-,100.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,43.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017.0,43.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,43.0,,-,17.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
Chancroid,2017.0,43.0,,-,7.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
Tularemia,2017.0,43.0,,-,183.0,,3.0,,230.0,,314.0,,180.0,,203.0,,149.0,,
Novel influenza A virus infections§§§,2017.0,43.0,,-,20.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Zika virus disease, non-congenital††††  ",2017.0,43.0,,-,379.0,,32.0,,5132.0,,,NN,,NN,,NN,,NN,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,43.0,,-,12.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Polio virus Infection, nonparalytic**",2017.0,43.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,43.0,,-,3.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Botulism, infant",2017.0,43.0,,-,87.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
Leptospirosis**,2017.0,43.0,,-,46.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
Streptococcal toxic-shock syndrome**,2017.0,43.0,1.0,,250.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,KY (1 )
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,43.0,,-,46.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
Smallpox,2017.0,43.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, chronic**",2017.0,43.0,1.0,,24.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,ID (1 )
"Hepatitis B, perinatal virus infection§§",2017.0,43.0,,-,19.0,,1.0,,32.0,,37.0,,47.0,,48.0,,40.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,43.0,,-,,-,0.0,,6.0,,3.0,,,NN,,NN,,NN,
Typhoid fever (caused by Salmonella typhi),2017.0,43.0,1.0,,292.0,,5.0,,376.0,,367.0,,349.0,,338.0,,354.0,,OH (1 )
Hansen's disease**,2017.0,43.0,,-,48.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
Trichinellosis**,2017.0,43.0,,-,11.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,43.0,,-,36.0,,0.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
Diphtheria,2017.0,43.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
Measles***,2017.0,43.0,,-,123.0,,1.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,43.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,43.0,2.0,,80.0,,4.0,,247.0,,896.0,,,NN,,NN,,NN,"NY (1 ), TX (1 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,43.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Poliomyelitis, paralytic",2017.0,43.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,43.0,,-,49.0,,2.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,43.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Anthrax,2017.0,43.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,43.0,,-,11.0,,0.0,,31.0,,21.0,,32.0,,21.0,,30.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,43.0,,-,1.0,,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,43.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,44.0,,-,,-,0.0,,6.0,,3.0,,,NN,,NN,,NN,
Plague,2017.0,44.0,,-,1.0,,0.0,,4.0,,16.0,,10.0,,4.0,,4.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,44.0,1.0,,73.0,,3.0,,108.0,,183.0,,212.0,,248.0,,134.0,,PA (1 )
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,44.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
SARS-CoV,2017.0,44.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,44.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,44.0,,-,21.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
Diphtheria,2017.0,44.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,44.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2017.0,44.0,,-,15.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,44.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Q fever, total**",2017.0,44.0,2.0,,137.0,,2.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
Cholera,2017.0,44.0,,-,3.0,,0.0,,15.0,,5.0,,5.0,,14.0,,17.0,,
Listeriosis,2017.0,44.0,6.0,,591.0,,16.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"ME (1 ), NY (1 ), NYC (1 ), OH (1 ), FL (1 ), CA (1 )"
"Botulism, infant",2017.0,44.0,2.0,,91.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,"OH (1 ), WA (1 )"
"Viral hemorrhagic fever****, Marburg fever",2017.0,44.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus disease",2017.0,44.0,,-,26.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
"Botulism, foodborne",2017.0,44.0,,-,17.0,,0.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,44.0,,-,11.0,,1.0,,31.0,,21.0,,32.0,,21.0,,30.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,44.0,3.0,,163.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,"OH (1 ), WV (1 ), OR (1 )"
Tularemia,2017.0,44.0,3.0,,189.0,,3.0,,230.0,,314.0,,180.0,,203.0,,149.0,,OK (3 )
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,44.0,3.0,,238.0,,7.0,,307.0,,274.0,,250.0,,329.0,,274.0,,"ME (1 ), NYC (1 ), CA (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,44.0,1.0,,121.0,,2.0,,159.0,,135.0,,266.0,,233.0,,263.0,,TX (1 )
"Q fever, acute**",2017.0,44.0,1.0,,111.0,,1.0,,132.0,,122.0,,132.0,,137.0,,113.0,,NY (1 )
Smallpox,2017.0,44.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2017.0,44.0,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017.0,44.0,,-,123.0,,1.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,44.0,,-,49.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,44.0,,-,107.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
"Syphilis, congenital¶¶¶",2017.0,44.0,,-,462.0,,9.0,,633.0,,493.0,,458.0,,348.0,,322.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,44.0,,-,19.0,,1.0,,32.0,,37.0,,47.0,,48.0,,40.0,,
Trichinellosis**,2017.0,44.0,1.0,,12.0,,1.0,,26.0,,14.0,,14.0,,22.0,,18.0,,WA (1 )
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,44.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
Cyclosporiasis**,2017.0,44.0,1.0,,1045.0,,2.0,,535.0,,645.0,,388.0,,784.0,,123.0,,OH (1 )
Psittacosis**,2017.0,44.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Yellow fever,2017.0,44.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,44.0,,-,51.0,,2.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,44.0,,-,3.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,44.0,,-,12.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
Brucellosis,2017.0,44.0,,-,102.0,,1.0,,127.0,,126.0,,92.0,,99.0,,114.0,,
Leptospirosis**,2017.0,44.0,,-,46.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
Novel influenza A virus infections§§§,2017.0,44.0,,-,20.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Poliomyelitis, paralytic",2017.0,44.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,44.0,,-,17.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Zika virus disease, non-congenital††††  ",2017.0,44.0,,-,394.0,,31.0,,5132.0,,,NN,,NN,,NN,,NN,
Anthrax,2017.0,44.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2017.0,44.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,44.0,,-,86.0,,3.0,,247.0,,896.0,,,NN,,NN,,NN,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,44.0,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-resistant Staphylococcus aureus**,2017.0,44.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
"Botulism, total",2017.0,44.0,2.0,,123.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Q fever, chronic**",2017.0,44.0,1.0,,26.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,NYC (1 )
"Viral hemorrhagic fever****, Lujo virus",2017.0,44.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,44.0,5.0,,192.0,,4.0,,187.0,,167.0,,39.0,,34.0,,37.0,,"OH (2 ), TN (1 ), TX (1 ), OR (1 )"
"Arboviral diseases¶,** La Crosse virus disease",2017.0,44.0,,-,35.0,,0.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,44.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,44.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Hansen's disease**,2017.0,44.0,,-,50.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,44.0,,-,114.0,,1.0,,82.0,,130.0,,141.0,,160.0,,52.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,44.0,2.0,,298.0,,4.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), AR (1 )"
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,44.0,,-,1.0,,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
Streptococcal toxic-shock syndrome**,2017.0,44.0,3.0,,256.0,,4.0,,283.0,,335.0,,259.0,,224.0,,194.0,,"ME (1 ), OH (1 ), VA (1 )"
Chancroid,2017.0,44.0,,-,7.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,44.0,,-,52.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
"Zika virus disease, non-congenital††††  ",2017.0,45.0,1.0,,397.0,,28.0,,5132.0,,,NN,,NN,,NN,,NN,TX (1 )
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,45.0,,-,,-,0.0,,6.0,,3.0,,,NN,,NN,,NN,
Plague,2017.0,45.0,,-,1.0,,0.0,,4.0,,16.0,,10.0,,4.0,,4.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,45.0,,-,1.0,,,-,7.0,,6.0,,8.0,,8.0,,15.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,45.0,,-,21.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,45.0,,-,114.0,,1.0,,82.0,,130.0,,141.0,,160.0,,52.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,45.0,,-,54.0,,3.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
Tularemia,2017.0,45.0,9.0,,200.0,,2.0,,230.0,,314.0,,180.0,,203.0,,149.0,,"OH (1 ), DE (1 ), OK (7 )"
"Viral hemorrhagic fever****, Lujo virus",2017.0,45.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,45.0,3.0,,163.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,"OH (1 ), MD (1 ), FL (1 )"
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,45.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,45.0,,-,17.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,45.0,,-,53.0,,2.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,45.0,,-,241.0,,6.0,,307.0,,274.0,,250.0,,329.0,,274.0,,
Yellow fever,2017.0,45.0,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever (caused by Salmonella typhi),2017.0,45.0,2.0,,302.0,,4.0,,376.0,,367.0,,349.0,,338.0,,354.0,,NY (2 )
"Viral hemorrhagic fever****, Lassa fever",2017.0,45.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Rabies, human",2017.0,45.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Q fever, acute**",2017.0,45.0,,-,115.0,,1.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,45.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Polio virus Infection, nonparalytic**",2017.0,45.0,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis**,2017.0,45.0,1.0,,49.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,OH (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,45.0,,-,108.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
Psittacosis**,2017.0,45.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Poliomyelitis, paralytic",2017.0,45.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
Chancroid,2017.0,45.0,,-,7.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,45.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, total**",2017.0,45.0,,-,142.0,,2.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
Smallpox,2017.0,45.0,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2017.0,45.0,7.0,,602.0,,15.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NYC (2 ), OH (1 ), VA (1 ), FL (1 ), MT (1 ), AK (1 )"
Cholera,2017.0,45.0,,-,4.0,,0.0,,15.0,,5.0,,5.0,,14.0,,17.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,45.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
